id,Date,City,Rep,Store,Prod,Cost,Sale
1,10/9/2005,Jubail,Yahia,Othaim,Toys,373.665,498.22
2,10/28/2005,Abha,Yahia,Panda,Toys,2714.0059,4600.01
3,2/18/2006,Riyadh,Mjeed,Lulu,Home,3718.965,4958.62
4,1/1/2006,Jubail,Yahia,Panda,Home,2791.4493,4731.27
5,1/29/2005,Jeddah,Mjeed,Panda,Home,185.3816,272.62
6,1/12/2005,Dammam,Abdul,Othaim,Food,3305.9025,7346.45
7,1/19/2006,Dammam,Yahia,Lulu,Office,5358.7672,7880.54
8,10/12/2004,Hail,Yahia,Othaim,Toys,7133.745,9511.66
9,3/15/2005,Dammam,Maliha,Carrefour,Food,3491.8709,8120.63
10,2/17/2006,Jeddah,Yahia,Lulu,Office,1350.063,3000.14
11,12/14/2005,Jubail,Yahia,Carrefour,Food,947.6383,2203.81
12,10/15/2004,Jeddah,Ghalia,Panda,Home,2648.9625,3531.95
13,12/26/2005,Jeddah,Maliha,Carrefour,Home,3309.46,3760.75
14,3/1/2006,Jeddah,Maliha,Carrefour,Toys,1277.9686,2972.02
15,12/9/2005,Dammam,Yahia,Lulu,Office,3923.2192,5769.44
16,12/15/2004,Riyadh,Maliha,Lulu,Office,1378.5929,3206.03
17,6/15/2006,Hail,Abdul,Carrefour,Office,5406.2703,9163.17
18,10/11/2005,Riyadh,Maliha,Panda,Food,396.1265,720.23
19,9/16/2005,Riyadh,Ghalia,Lulu,Food,266.3024,451.36
20,9/3/2005,Jubail,Ghalia,Carrefour,Office,2499.629,4544.78
21,12/26/2004,Jubail,Abdul,Carrefour,Home,4914.2984,5584.43
22,12/28/2015,Dammam,Maliha,Carrefour,Toys,7221.7024,8206.48
23,5/20/2005,Hail,Abdul,Lulu,Food,2929.712,4308.4
24,3/15/2006,Jeddah,Ghalia,Lulu,Food,3260.004,3704.55
25,1/11/2006,Jeddah,Maliha,Panda,Home,3249.56445,3475.47
26,4/5/2005,Abha,Yahia,Panda,Toys,4593.6924,6755.43
27,6/26/2004,Abha,Mjeed,Othaim,Office,5927.724,6736.05
28,7/17/2005,Abha,Ghalia,Lulu,Toys,245.7825,327.71
29,9/30/2005,Hail,Ghalia,Carrefour,Home,627.9392,923.44
30,9/24/2005,Jeddah,Ghalia,Carrefour,Toys,2393.388,5318.64
31,8/18/2005,Jubail,Maliha,Lulu,Office,3170.595,4227.46
32,7/19/2005,Jubail,Abdul,Lulu,Office,5064.1164,7447.23
33,11/1/2004,Abha,Mjeed,Lulu,Office,3679.8239,9945.47
34,8/16/2005,Riyadh,Ghalia,Lulu,Office,1384.196,2516.72
35,11/12/2004,Abha,Maliha,Othaim,Home,6395.6775,8527.57
36,2/22/2006,Riyadh,Abdul,Carrefour,Home,793.9068,1167.51
37,10/22/2005,Jeddah,Abdul,Panda,Home,113.6773,121.58
38,9/10/2005,Dammam,Maliha,Panda,Food,5758.37515,6158.69
39,2/14/2005,Abha,Ghalia,Othaim,Toys,1401.4683,2375.37
40,2/24/2005,Abha,Ghalia,Lulu,Toys,4460.7915,8110.53
41,5/22/2006,Jubail,Ghalia,Lulu,Office,776.8485,1726.33
42,11/22/2005,Riyadh,Maliha,Carrefour,Food,5273.796,5992.95
43,2/4/2005,Jeddah,Yahia,Carrefour,Food,4457.7247,4767.62
44,4/12/2005,Jeddah,Yahia,Panda,Toys,3453.9696,5955.12
45,8/17/2004,Dammam,Abdul,Othaim,Home,6390.6656,7262.12
46,7/21/2005,Abha,Ghalia,Panda,Home,1625.0625,2166.75
47,4/14/2006,Riyadh,Abdul,Lulu,Home,6221.9201,6654.46
48,4/16/2005,Jubail,Abdul,Lulu,Home,5199.7575,6933.01
49,10/18/2005,Dammam,Yahia,Panda,Office,3776.4322,6511.09
50,6/7/2005,Dammam,Ghalia,Othaim,Toys,2763.3285,6140.73
51,4/1/2005,Dammam,Ghalia,Lulu,Food,1506.989,2739.98
52,12/20/2004,Riyadh,Maliha,Lulu,Home,3589.2229,8347.03
53,10/4/2005,Riyadh,Maliha,Carrefour,Office,3640.3153,9838.69
54,3/27/2006,Abha,Ghalia,Carrefour,Home,3377.2603,5724.17
55,1/21/2006,Hail,Ghalia,Carrefour,Home,600.0184,882.38
56,6/7/2006,Riyadh,Abdul,Carrefour,Office,391.896,870.88
57,9/6/2004,Jeddah,Ghalia,Othaim,Toys,1823.277,3090.3
58,9/29/2004,Jubail,Mjeed,Panda,Office,2626.7312,3862.84
59,5/2/2006,Hail,Abdul,Panda,Home,5363.0444,7886.83
60,10/29/2005,Dammam,Ghalia,Lulu,Home,2969.99,8027
61,7/17/2005,Jeddah,Mjeed,Othaim,Home,4164.3375,5552.45
62,12/9/2005,Hail,Mjeed,Carrefour,Food,1479.2355,3287.19
63,6/15/2006,Jeddah,Ghalia,Panda,Toys,6971.4975,9295.33
64,10/12/2005,Hail,Abdul,Lulu,Toys,5599.6192,9490.88
65,5/8/2005,Dammam,Mjeed,Panda,Toys,2864.6399,7742.27
66,7/15/2005,Jeddah,Yahia,Othaim,Food,3145.57375,3364.25
67,12/14/2005,Dammam,Maliha,Othaim,Food,3963.24,8807.2
68,8/17/2005,Hail,Abdul,Lulu,Toys,1738.624,2556.8
69,1/10/2005,Abha,Mjeed,Othaim,Home,988.2389,1056.94
70,11/6/2005,Jeddah,Maliha,Lulu,Toys,3078.666,4527.45
71,2/24/2005,Abha,Ghalia,Othaim,Office,655.1875,1191.25
72,4/18/2006,Jubail,Mjeed,Lulu,Office,2322.1385,4222.07
73,2/14/2005,Dammam,Maliha,Carrefour,Office,1698.6663,4590.99
74,5/10/2006,Jubail,Ghalia,Lulu,Home,2236.3419,3790.41
75,2/8/2005,Abha,Yahia,Panda,Toys,3726.3072,4234.44
76,6/19/2004,Jubail,Ghalia,Othaim,Toys,3623.9411,8427.77
77,1/4/2005,Dammam,Ghalia,Lulu,Home,3692.1176,8586.32
78,3/28/2005,Dammam,Maliha,Lulu,Office,2294.3591,2453.86
79,11/23/2005,Jeddah,Abdul,Lulu,Office,3666.6375,4888.85
80,1/18/2005,Hail,Ghalia,Othaim,Home,3657.2835,9884.55
81,1/14/2005,Jeddah,Abdul,Carrefour,Office,2206.5098,5963.54
82,3/15/2006,Jeddah,Abdul,Othaim,Office,5948.1664,6759.28
83,4/23/2005,Jeddah,Mjeed,Carrefour,Home,406.7085,739.47
84,10/7/2005,Dammam,Yahia,Lulu,Food,3641.6344,6278.68
85,4/9/2006,Jubail,Yahia,Lulu,Toys,3119.479,5671.78
86,7/10/2004,Riyadh,Abdul,Lulu,Toys,3181.599,7070.22
